Designator,Mid X,Mid Y,Rotation,Layer
C1,172.0,-64.5,90.0,top
C2,172.8,-64.475,270.0,top
C3,192.2,-83.6,270.0,top
C4,193.15,-86.4,90.0,top
C5,176.475,-84.7,270.0,top
C6,179.975,-84.7,270.0,top
D1,176.1,-87.705,270.0,top
J1,178.55,-93.16,0.0,top
J2,170.15,-80.65,90.0,top
Q3,186.2,-91.05,0.0,top
Q4,191.7875,-90.45,180.0,top
R1,189.05,-91.58,270.0,top
R10,175.745,-86.4,0.0,top
R11,181.795,-86.35,180.0,top
R12,177.175,-88.1,180.0,top
R2,189.1,-89.75,90.0,top
R3,193.15,-88.68,90.0,top
R4,190.3,-95.1,90.0,top
R5,172.8,-65.8,270.0,top
R6,188.1,-83.1,0.0,top
R7,190.3,-93.5,270.0,top
R8,192.645,-84.6,180.0,top
R9,192.65,-85.4,180.0,top
SW1,193.2,-94.5,90.0,top
SW2,187.15,-94.6,90.0,top
U1,183.06,-69.11,0.0,top
U2,178.3375,-85.1,0.0,top
U3,188.65,-85.25,270.0,top
